id,Predictions
954,1
239,1
61,0
984,0
774,0
427,1
960,1
387,0
520,0
563,1
856,0
545,0
511,0
252,1
742,0
873,0
566,1
325,0
760,1
27,1
544,1
297,0
258,0
63,1
857,0
433,1
543,1
794,0
710,1
725,0
76,0
390,1
939,0
45,1
373,1
677,1
205,0
410,1
557,0
33,1
861,0
35,1
800,0
818,0
190,0
215,1
187,1
316,0
488,1
635,1
559,0
789,0
11,0
973,0
634,1
673,1
342,0
958,0
971,0
432,0
293,0
378,0
646,0
852,0
191,0
183,0
350,0
644,1
157,0
806,0
408,1
431,0
497,0
234,1
311,0
525,0
317,0
656,1
649,1
356,0
830,0
104,1
136,0
101,0
405,1
168,1
961,0
943,0
412,1
874,1
346,0
269,1
687,0
51,0
529,0
824,0
733,1
639,1
161,0
115,0
952,0
141,0
501,1
279,1
209,0
112,0
944,1
206,1
809,1
123,0
841,0
474,1
440,0
620,0
867,0
763,0
582,1
67,1
467,0
220,1
909,1
24,1
409,0
832,0
584,1
176,0
923,0
79,1
31,1
98,0
376,1
134,0
417,1
531,1
551,0
25,1
86,1
927,0
571,1
604,1
339,1
505,0
430,1
284,0
270,0
164,1
171,1
681,1
695,1
396,0
73,1
108,1
670,1
622,1
858,0
871,0
353,0
360,1
282,0
322,0
445,0
22,0
140,0
963,0
990,0
851,0
950,0
986,1
795,0
757,0
66,0
912,0
910,1
457,1
889,1
9,1
326,1
182,0
674,1
304,0
398,0
746,0
246,0
903,0
449,1
210,0
510,1
783,0
713,1
479,0
698,1
942,1
715,1
667,1
204,1
400,0
421,1
254,1
463,0
425,1
